Item,Flour,Baking Powder,Sugar,Salt,Milk,Butter,Egg,Vanilla,Oil ,Total ,flour,baking powder,sugar,salt,milk,butter,egg,vanilla,,
Pancake,1.5,0.0718801,0.0616115,0.005134292,1.25,0.184835,0.25,0,0,3.323460892,45.13367386,2.16280866,1.853835565,0.154486307,37.61139489,5.561521739,7.522278977,0,teaspoon,0.0205372
Waffle,2,0.0410744,0.123223,0.0205372,1.5,0.666666,0.5,0.0205372,0,4.8720378,41.05058462,0.843064067,2.529188095,0.421532033,30.78793847,13.68351452,10.26264616,0.421532033,tablespoon,0.0616115
Pancake,1,0.0410744,0.123223,0.0102686,1,0.123223,0.3116115,0,0,2.6094005,38.32297878,1.57409336,4.722272415,0.39352334,38.32297878,4.722272415,11.9418809,0,,
Waffle,2,0.0821488,0.0616115,0.0051343,1.75,0.5,0.5,0.0102686,0,4.9091632,40.7401408,1.673376839,1.255030593,0.104586052,35.6476232,10.1850352,10.1850352,0.209172105,,
Pancake,2,0.0821488,0.25,0.0102686,1.75,0.25,0.25,0.0410744,0,4.6334918,43.16399136,1.772935047,5.395498919,0.221616881,37.76849244,5.395498919,5.395498919,0.886467523,,
Pancake,1.5,0.0616115,0.123223,0.0102686,1.25,0.246446,0.25,0.0205372,0,3.4620863,43.32647629,1.779606129,3.559212259,0.296601503,36.10539691,7.118424518,7.221079382,0.593203006,,
Pancake,2,0.0410744,0.0616115,0.0051343,1.75,0.123223,0.5,0,0,4.4810432,44.63246415,0.916625843,1.374936533,0.11457823,39.05340614,2.749873065,11.15811604,0,,
Pancake,2.6666,0.123223,0.25,0.0205372,2.5,0.333333333,0.5,0,0,6.393693533,41.7067222,1.927258467,3.910102958,0.321210266,39.10102958,5.213470611,7.820205917,0,,
Pancake,1,0.0616116,0.0616115,0.0051343,0.75,0.123223,0.25,0,0,2.2515804,44.41324858,2.736371306,2.736366865,0.228030942,33.30993643,5.47273373,11.10331214,0,,
Pancake,0.857142857,0.026404929,0.047619048,0.006845733,0.75,0.0616115,0.25,0.0205372,0,2.020161267,42.42942736,1.307070332,2.357190409,0.338870636,37.12574894,3.049830774,12.37524965,1.016611908,,
Pancake,1.5,0.0410744,0.123223,0.0154029,1.25,0.1848345,0.5,0,0,3.6145348,41.49911629,1.136367535,3.409097071,0.426137826,34.58259691,5.113645607,13.83303876,0,,
Pancake,2,0.0205372,0.3333,0,1.75,0,0.5,0.0205372,0,4.6243744,43.24909333,0.44410764,7.207461403,0,37.84295666,0,10.81227333,0.44410764,,
Waffle,1,0.0205372,0.123223,0.0051343,1,0.246446,0.5,0,0,2.8953405,34.53825206,0.70931899,4.255907034,0.177329748,34.53825206,8.511814068,17.26912603,0,,
Waffle,2,0.0205372,0.0616115,0.0205372,2,0.369669,1,0,0,5.4723549,36.54733724,0.375289987,1.125868134,0.375289987,36.54733724,6.755208804,18.27366862,0,,
Waffle,2,0.0616115,0.123223,0.0102686,1.6666,0.33333,0.5,0.0205372,0,4.7155703,42.41268548,1.306554586,2.613109172,0.217759451,35.34249081,7.068710226,10.60317137,0.435518902,,
Waffle,2,0.0821488,0.123223,0.0102686,1.5,0.369669,0.5,0.0205372,0,4.6058466,43.42307015,1.783576552,2.675360486,0.222947069,32.56730261,8.026081459,10.85576754,0.445894138,,
Waffle,2,0.0821488,0.123223,0.0205372,1.5,0.5,0.5,0.0205372,0,4.7464462,42.13678857,1.730743309,2.596110749,0.432685827,31.60259143,10.53419714,10.53419714,0.432685827,,
Waffle,2.25,0.0616115,0.5,0.0154029,1.5,1,0.75,0.0616115,0,6.1386259,36.65315392,1.003669241,8.145145317,0.250917718,24.43543595,16.29029063,12.21771797,1.003669241,,
Waffle,1.25,0.0102686,0.0616115,0.0102686,1,0.3333,0.25,0.0205372,0,2.9359859,42.57513635,0.349749636,2.09849441,0.349749636,34.06010908,11.35223436,8.515027269,0.699499272,,
Waffle ,2,0.0821488,0.123223,0.0102686,1.5,0.333333333,0.5,0.0205372,0,4.569510933,43.7683601,1.79775913,2.696634318,0.224719891,32.82627007,7.294726683,10.94209002,0.449439782,,
